,z
PSMD2,0.72716177
TBC1D16,0.7270823
MFSD1,-0.72704077
IP6K2,0.72702575
MLLT3,0.7267941
ABHD10,-0.72627217
YTHDC1,0.7261665
PNO1,0.72610974
N4BP2L1,-0.7257095
RHOBTB2,0.725664
ATRNL1,-0.7255532
MRPL23,0.72554487
KATNBL1,-0.7254207
AUP1,0.7252773
SART1,-0.7250716
EIF4ENIF1,-0.7249045
CSE1L,0.7247812
BMPR1A,-0.7246767
CTBS,-0.7246422
CCL21,-0.72458905
SH3BP4,-0.7240834
PAFAH1B3,-0.7238693
ACP1,-0.72382706
MID1IP1,-0.7237158
RAMP2,0.72353864
PRSS16,-0.7234964
AKAP13,0.7233295
TRNAU1AP,-0.7232436
GAMT,-0.7230703
RGS5,0.72306156
EFCAB2,-0.7230232
KLHL25,0.72300154
GTPBP2,-0.7227316
ETF1,0.72270703
ZCCHC11,-0.7221548
ANK3,-0.7221435
PIGL,0.72176266
AKTIP,0.7217357
GLA,-0.7216901
CDH1,-0.72164416
LGR4,-0.7216066
PWP2,0.7214471
PRPF4,0.7213421
APC2,0.72133493
PYROXD1,-0.7212689
SUPT3H,-0.72113526
ABCG2,-0.7211088
TRAF5,-0.7209338
PDE4A,0.7209078
PSMA1,0.72051704
FOXC2,0.7204686
FSD1,-0.720364
SYNGR1,-0.71999425
DENND4C,-0.7196729
MRGBP,0.71960366
PARP3,0.7192877
MINA,0.7191244
NDFIP1,0.7188827
SEC22A,-0.71883166
CDCP1,0.7187115
RHBDL1,-0.71843296
HLA-DRB1,-0.7176402
STK16,-0.7174515
GPR3,0.717355
ETFB,0.7172365
HERC3,-0.7171575
ATF3,-0.7171337
MYO9B,-0.7171328
OBSL1,-0.71664846
TSPYL4,-0.71643883
ARHGDIG,0.7162016
FH,0.7159967
ARMCX6,0.7159018
FAM189A2,0.71553206
TSPAN1,0.7155143
LETM1,0.715437
MAP4,0.71541345
AIM2,0.71523404
ATP11A,0.7150897
PKNOX1,-0.7150464
SNX6,-0.7147562
PICALM,0.71468806
TSPAN9,-0.71450144
SEC24A,0.7141918
CLDN15,-0.7138841
ZNF350,-0.71368587
TLR5,-0.71364725
ZNF467,-0.7135121
ACSS3,-0.7134389
PPIE,0.7131677
SOAT1,0.7131275
SYT13,0.7130381
CEBPA,0.71303415
SHROOM2,-0.7128699
TNFRSF14,-0.7128616
SH2B1,-0.7127779
HSD17B7,0.7125265
GATAD2A,0.7122114
DAP3,0.71174467
SGSH,0.7116029
TUSC2,0.7114873
NT5C,0.7113117
SYNGR3,-0.71129316
ALDH8A1,-0.7112304
RECQL,-0.71109563
ZC3H11A,0.71081555
GALNT14,0.7106575
TMEM187,-0.71064484
PLCH1,-0.7105326
RNF122,0.7103964
RAB3GAP2,0.71035707
SNX3,-0.7103492
CES1,0.7102048
HRK,-0.71010804
SLC6A15,0.70977056
CTSV,0.7095037
CEP55,0.7094461
TOX,-0.70932275
FGF2,-0.7092773
FBXO40,0.7091097
ZBTB24,0.7089254
PDZD2,-0.7088759
ACYP1,-0.70798945
ACSL5,-0.7079662
PKMYT1,-0.7077867
MYOZ3,0.7076235
SOX12,0.7075424
CPQ,-0.7075342
KAT5,-0.7075028
HS3ST2,0.7074797
TRIM31,0.7074212
APP,-0.7072999
CDH15,0.7071864
MTF1,-0.7071622
ANKRD6,0.70715773
WASF2,0.7065513
FNBP1,-0.70636874
YEATS2,0.7062706
STAG3,-0.70626533
SMYD3,0.70622396
RPL15,-0.7061235
CHUK,-0.70585704
KRI1,0.7058357
PSMB2,-0.7057137
PPP4R1,-0.70548886
CCL4,-0.7052908
PPP3CC,-0.70526737
UQCRQ,-0.7052215
NGFR,0.70516264
ACADL,0.70504487
MID2,-0.7048288
C4BPB,-0.70469856
TLE2,-0.70469785
CH25H,0.70468736
OTUD4,0.70460826
LRRFIP1,0.7045437
AKAP9,-0.70384675
FUT9,-0.70367026
SFI1,-0.7036005
KLHL36,0.70339715
PARVB,-0.7029263
ITGAX,0.7026139
SYPL1,0.7025436
MEN1,0.7023428
STARD5,0.70231086
CCDC68,-0.70210344
PCDHGC3,0.70206404
GPNMB,0.70202017
FFAR3,0.70185024
CLSTN1,-0.7016521
GIT2,0.7015593
C3orf14,0.70113796
TM4SF1,0.70111656
INPP4A,0.700962
SNED1,0.70064783
FGF9,-0.7005672
WWOX,0.70027
GDPD5,-0.70025206
DPYSL4,0.70014924
GREM1,-0.70014095
VPS9D1,0.7001302
CEP57,0.7001123
MFSD13A,0.70001775
MMP3,0.70001715
CDKN2A,-0.69974357
FAXDC2,-0.6996953
ARRB2,-0.6995977
TMEM39A,-0.69957274
HP1BP3,-0.69956297
EXPH5,-0.69950587
IGFBP6,0.6993523
SP110,-0.699288
DFFA,0.6990491
TCF7L2,0.6989591
TUT1,0.69876635
LGALS3BP,0.6987164
CACNG2,0.69865
ZNF83,-0.6983584
C10orf76,-0.69832253
RFXAP,-0.6982817
SLC6A16,-0.69796294
TIMELESS,-0.697953
CEP68,0.6978691
RBCK1,-0.6978663
SKAP2,-0.6978233
ZC3H15,0.6975441
DAPK3,-0.69753563
SRGAP2,-0.69700474
MFGE8,-0.69668144
MREG,-0.6966313
ST6GAL1,0.69656956
PEX1,-0.69656444
HRH3,0.6962994
C11orf80,-0.69587207
TOE1,-0.6957597
NCAPD2,-0.6956092
NDUFB8,-0.6955645
CA12,0.6953616
TASP1,0.69532925
PRPSAP2,0.6953118
QRICH1,0.69528145
ALDH4A1,-0.6951186
FAM155A,-0.69484127
EEF1A1,-0.6947997
CAMK2G,-0.6946376
ISYNA1,0.6945641
CYFIP1,0.6944117
QRSL1,-0.6943203
TMEM151B,0.6941971
PDHA1,0.6941798
LSG1,0.6939783
GNA14,0.69392496
TAF1A,0.69374174
ABHD2,0.6934798
REEP1,-0.6934246
APH1A,-0.69338787
RAB6A,0.69302374
ARMCX4,-0.69297874
PARM1,0.69281006
TMX2,0.6927223
HPS1,0.69268167
CDO1,-0.69245297
ZHX2,0.6924109
GPR176,0.6922366
CCDC177,0.69193774
TFRC,-0.6918986
COX4I1,-0.69188595
GGPS1,0.69175196
TSPO,-0.69145095
CARS2,-0.6914425
CLTCL1,0.6912967
CD1C,-0.69111276
RABGGTB,0.6909957
GAK,0.6909636
BRE,-0.6908737
DENND5B,-0.69081223
TUSC3,-0.6904856
MAPK1,-0.69046533
TUG1,-0.6899227
MRPS30,0.6899121
NFYC,0.6898687
TXNL1,0.6898667
CRLF1,-0.68966013
MRPL19,0.6893425
TPMT,0.6892685
PHKA1,0.68916434
PCDHB12,0.6890364
ACTN2,-0.68901354
RAP2A,-0.6888564
PLEK,-0.688704
MLF2,0.688493
H2AFY2,0.6884387
PTCH1,-0.6884334
INA,-0.6877108
SRPX,-0.68762004
NME5,-0.68753767
PPCDC,0.6870151
ZBTB10,-0.68685794
COL7A1,-0.6865972
PRKCSH,-0.68656754
TNNT3,0.6865386
GYG1,-0.68646073
IGSF9B,-0.6864109
EZH2,-0.68626535
SLC15A2,0.6859866
SULT4A1,-0.68584067
ANKZF1,-0.68583226
PEBP1,0.6858035
ZNF195,0.6857119
EVI2A,0.685699
NUP85,0.6851244
TYR,-0.68504673
WWC3,-0.6850133
KCNH2,-0.68493605
ZNRD1-AS1,-0.6847783
KCMF1,0.6844919
TESK1,-0.68443334
NCAM2,-0.683869
NAE1,0.6838135
CEACAM6,0.68337595
RAD21,-0.68323314
TFEC,-0.6831299
TLE3,0.6830385
NCL,0.68297315
SYP,-0.68279755
SERPINB7,0.68276924
TP63,0.6826825
DGKZ,-0.6826587
WDR45B,0.6825271
UBR5,-0.68223894
NCOA2,-0.68217653
S100A9,-0.6819625
TBC1D4,0.68194646
COX5A,0.68172073
LAMTOR3,0.6816778
C17orf53,0.68152475
SATB2,-0.68148035
UIMC1,0.68137455
CDH9,0.6812093
TMEM161A,0.68118453
PDE8A,0.681086
ZEB2,-0.6806803
DDX21,0.68063927
PIPOX,-0.6805758
ATRAID,-0.6805067
SNHG20,0.680446
TTC30A,-0.68012094
MUT,-0.6800889
ROBO4,0.6798376
GADD45GIP1,-0.67969453
ZNF706,-0.67963624
RCAN1,0.6796304
PYCRL,-0.6795028
LARS,-0.67947686
DHX58,-0.6793039
NUFIP1,0.6792781
ANXA7,0.67916465
TRIM26,-0.67891693
KCNS3,0.67877305
KLF5,0.67876303
FHL3,0.6786432
TULP3,-0.6783667
MATN1,-0.67834556
CHCHD7,-0.6782371
SST,0.67822146
PIK3CB,-0.6780535
KIF5A,0.6778003
STEAP1B,-0.6775949
EDIL3,-0.6774003
MLANA,-0.6772473
PARK7,-0.67715913
SF3B2,-0.67715275
APOBEC3C,-0.67706996
GLUD1,-0.67688966
PRDX1,0.67679095
BRCA1,-0.6766974
TOR4A,0.6766858
MOCOS,-0.67624843
CUX1,0.6759976
FEZ1,0.6758181
METTL13,0.6757079
FBXL2,0.675531
CHCHD2,-0.67511046
MAP3K9,0.67510855
MAP4K1,0.6748287
EFHD2,0.6746101
AKAP5,-0.6744124
MICAL3,-0.674317
HIRA,-0.67396337
STK26,0.67391944
MYO10,-0.6737823
ABHD4,-0.6737075
COPS2,0.67362297
CYTIP,0.67346984
GAS2L1,-0.6732614
MARCH7,0.67324156
SALL1,-0.6731986
HMGXB4,-0.672961
USP20,0.6727645
CCT5,0.6726357
ID3,0.67247796
KPNA1,0.6723981
ZNF512B,0.67238957
KLF2,0.6722874
PAK3,-0.67227983
CLEC1A,0.6722559
PAPSS2,-0.67218834
EBNA1BP2,0.6721685
UVRAG,0.67213976
PPIH,0.6718697
RPRD2,0.6717473
KIT,-0.6714368
PREP,-0.67114705
DRC3,-0.67100406
STK39,0.67033356
STAT5A,-0.6702806
JAK2,-0.6702362
RHOT1,-0.670221
YLPM1,-0.6700118
SLC30A5,-0.66967237
TGFBRAP1,0.6696509
KCNN3,0.6696067
CD84,-0.66951966
GPSM2,0.66951644
ANKRD26,0.66928536
PAPPA,-0.66924
DENND1C,0.66888934
TPD52,0.66872543
AMBRA1,0.6686383
MMP19,0.66857827
SASH3,0.66845167
PSTPIP1,0.6679713
RANBP9,-0.66788805
BSN,0.6678836
GREB1,-0.66784
DDX42,0.6675035
MAF,-0.6674741
ANKMY2,-0.66740894
HSPA5,-0.6673131
IGFBP2,0.6670934
SPR,0.6668663
HERC5,-0.6667643
HNRNPR,0.66662025
TMEM41B,0.6666097
CYP7B1,-0.6665112
FAM168B,0.66650236
NAA10,0.66643333
ZNF638,0.66635484
NAGK,-0.66620225
PTPN12,0.6660743
SARAF,-0.666029
HSPA9,0.66595626
RETSAT,0.6659498
ETNK1,0.66593623
GTPBP3,0.6658789
CNTN1,0.6658512
BTN3A1,-0.66580355
SREBF1,0.66565937
MATK,-0.66546637
RAB3A,0.6653763
BTAF1,-0.66531676
PSAT1,0.66506267
POU3F3,0.66481566
PFKFB1,0.6646399
ABL1,-0.66456
MLLT4-AS1,-0.6641237
CRTAP,-0.6641191
MED16,-0.6640316
FBXL14,-0.6640104
HPD,-0.66400325
GLT8D2,-0.6639904
ZNF506,-0.6639727
HAX1,-0.6635295
GSR,-0.66343737
DIRAS3,0.66325617
FANCG,-0.6632509
FAM3C,0.66318774
LMF1,-0.6628628
TOR1B,-0.6626613
RIPK4,-0.66235757
RAB40B,0.66230667
LY75,0.6623025
TRIM33,0.66219735
THNSL1,-0.6621508
GDI1,-0.6621269
SLC9A5,-0.66175807
CDC14B,0.6617484
CCNF,0.6617037
GSDMB,-0.6616912
JUNB,-0.6614933
PDCD6,-0.6614258
NUP54,0.6613079
ABCD1,-0.66127396
TMEM62,-0.6611061
ZNF384,-0.66096425
BCL10,0.66092616
EDNRB,0.66084635
SCARF1,0.66058815
CARS,0.6602558
GK,-0.66007924
CTDNEP1,0.6599412
CDC42EP1,-0.6597924
WISP2,-0.6596788
TCIRG1,0.6595055
MRPL11,-0.6594379
THEM6,-0.65901506
NEDD4,-0.6584044
GOLGA1,-0.65839326
IDI2-AS1,-0.658248
TTN,-0.65792835
RIMS3,0.65783656
LMNB1,-0.6578093
IGF1,0.65776384
LRRC59,0.6575997
TMEM242,0.6574682
DOCK10,-0.6573955
KIAA0895,-0.65678465
PFDN4,-0.65653247
C6orf48,-0.65643716
ANAPC13,-0.65606606
NUCB1,0.6557752
WNT5B,0.6552773
DHRS7,0.65505916
ZNF574,0.6549895
FUBP1,-0.654948
TBX21,-0.65467685
CSTF1,0.654651
THRA,-0.65457815
GTF3A,-0.6545572
B3GNT2,-0.654539
LAX1,0.6545235
WBSCR16,0.65447396
ZNF107,-0.6544554
AGK,0.65434575
ABLIM3,-0.6542364
CD14,-0.65417624
AIF1,-0.6541705
S100A2,0.6540152
ECH1,0.6539936
PPP1R12A,0.65395653
MPPED2,-0.6538922
ZMPSTE24,0.6534078
MCM6,0.65335286
CCNB1IP1,-0.65323246
GRTP1,0.6530684
SLIT1,0.6530572
IFI16,0.65285957
TBC1D12,0.652377
ZFP2,-0.65208876
HMGXB3,-0.6519581
TMEM126B,0.6518473
PTDSS1,-0.6518159
MRPL17,0.65162504
SNPH,0.6514381
MED4,0.6506574
SYN1,0.6505679
RAD52,-0.6505437
OSGIN1,-0.6503298
HIGD1A,0.6502769
SLC16A6,-0.6502719
TIPRL,-0.65019745
STRN,0.6501216
DLK1,0.64998233
IQSEC2,0.6498716
APLP1,-0.64965534
PQLC1,-0.6496006
ARID3B,0.6494928
RASSF2,-0.64940894
KIFC1,-0.64925706
CLEC3B,0.64920723
ABCF1,-0.6491065
JAKMIP2,0.64893126
SEMA6B,0.6488837
EXD2,-0.64860696
EIF3B,0.6485287
AP5S1,-0.64849746
MBTPS1,-0.6483926
BICD1,-0.6482234
TRIM27,-0.6480392
KIAA1324,-0.64795566
RRAD,0.6479025
ARMC9,-0.6478757
ZNF222,0.6477906
PSG2,-0.6477809
CCT6A,0.64775884
BCAS3,-0.6475015
AHNAK,-0.64749473
SEZ6L,0.64728844
B3GAT3,-0.64728016
CCNA2,0.6471697
POPDC3,-0.6470648
SLC4A1AP,0.64703375
CREM,-0.6470045
NMD3,-0.64695966
HIP1R,0.6468369
ATG4A,-0.6463647
ZNF468,0.6461675
NEIL3,0.6460943
TRAPPC4,-0.64608216
SPATA7,-0.6459967
DLC1,-0.64595366
PIP4K2C,0.64592075
CALD1,-0.645717
DSP,0.6454155
EFCC1,0.6453713
GPC5,0.6452957
APBB2,0.6451708
ARHGAP4,0.6450957
CPT2,-0.64508235
SSR1,-0.6450069
MYL6B,-0.6443825
TRA2A,-0.6442188
ARFGAP2,0.6442047
TRMT1L,-0.64418936
MYO15B,0.6441306
FGFR3,0.6441281
NOP10,0.64408267
WBP2,0.6440305
NLRP2,0.64396894
BMP7,0.6439004
FEM1C,-0.64388406
PRPH2,0.64382124
LFNG,0.64351946
ABCC5,0.6435143
ARPC4,-0.6434493
LOC100507424,-0.64318794
MYL5,0.6431233
GPR137,0.643033
RRP12,0.6429961
GNAZ,-0.6429833
TMA16,0.64298147
SCAF8,0.6427852
FMO2,-0.6425096
SRPRA,0.641986
MXD3,-0.6415446
CSTF2T,-0.64145994
WIPI2,0.6410772
TP53AIP1,0.6409923
NAV2,-0.6408613
WDR47,-0.6408366
HEG1,-0.64075494
HIGD1B,0.6400168
BMP2,0.63993824
ATOX1,-0.639838
MLLT10,0.63978666
CX3CR1,-0.6396921
C10orf2,0.63966346
CYP4B1,-0.63966036
ATG5,0.6396279
RASGRF1,-0.6394589
HOXB3,-0.639303
ITGB7,-0.6391521
SIL1,-0.6390325
MRPL46,-0.63887787
TMEM51,-0.63886404
HPSE2,0.63873875
WFS1,-0.63861763
TFG,0.638468
RPS21,-0.6382109
GLRX3,0.6381743
FOXG1,-0.63814765
RIPK2,-0.63808167
DDX5,-0.6377635
SGMS1,-0.63774896
PPFIBP1,-0.63772047
GAA,0.63769937
PIM1,-0.63768584
CMC2,-0.6374385
NPY1R,-0.6372422
PDE2A,-0.6372078
ZEB1,0.6368438
VSTM4,0.63655174
FAM173A,-0.636543
ECHS1,-0.63647425
CYTH1,0.63632447
PPP4R3A,-0.6362707
KLF12,-0.63619643
S100A5,0.6358672
SNCG,-0.6356719
IL27RA,0.63560766
DOC2A,0.6355543
EFR3B,-0.63549256
TST,-0.6354877
HILPDA,-0.6348306
TYK2,-0.63464713
SCLY,0.63433003
IPO7,0.63423324
ARAP1,0.63419896
DPY19L4,-0.63395196
SSBP3,0.63390726
LUZP1,0.6338397
PCGF1,0.63343716
POLE,0.63322616
GPN3,0.6330532
DDRGK1,-0.63302445
ZNF79,-0.6330241
SDR39U1,-0.6329834
RAB5C,-0.6327703
SLC25A3,0.6326549
BHMT2,-0.6325054
PTPRA,-0.63240004
SLC4A3,-0.63223606
ZZZ3,0.63219345
CORT,0.6319337
GMFB,-0.631901
SDHC,0.6318797
JAG1,0.6318324
CRTAM,-0.631794
DGUOK,0.6317095
EPB41L4A,0.6314781
TRIM45,-0.63139915
TGFBR3,-0.6313022
PHLDA3,0.63127804
UBXN1,-0.6309269
BAHD1,0.6309074
PIAS1,0.63089526
KLHL9,-0.63079464
ZNF529,-0.6307179
C1D,0.6300465
CDK5,-0.6294311
RBM12B,-0.629327
SH2B3,0.6291799
RNASEH2A,-0.6285372
DHX29,-0.62849545
ARL6IP1,-0.62848884
VAT1,0.6282159
SEPHS1,-0.6281779
ZDHHC3,0.6278821
PMPCB,-0.6278185
RPH3AL,-0.62741715
ICAM2,0.6273642
TOPORS-AS1,-0.62735724
ZNF442,0.627242
MS4A6A,-0.62710726
ICA1,0.62692314
RAB36,-0.62658185
SMARCD2,-0.6265607
LPXN,-0.6265005
STX3,0.6263877
CCK,0.6263857
RIPK1,-0.6263374
RIC8A,0.6257661
VIPR2,0.625422
CENPC,0.6253537
S100P,-0.62475187
RPL4,-0.6243787
PLK2,-0.6243049
MNAT1,-0.62409097
NRIP3,-0.6239822
NEK1,-0.62386453
PIP5K1A,-0.62371725
BIN3,0.6234218
LDLR,0.62306964
CDH22,-0.62306184
CASK,0.6229241
EXTL1,0.62283933
NAALAD2,-0.6226165
CAPZA1,-0.6225968
ARF4,0.62257755
POLR2H,0.62251127
CRISP2,-0.6224041
STX2,0.62219363
TANK,0.6221608
ZNF280B,-0.6221256
INSIG2,-0.62172747
RPL26,-0.62172395
HADHB,0.6216593
CYB5A,0.62159985
ARPP19,0.6215159
PDLIM1,-0.6215068
KHSRP,0.62141514
LMO3,0.6212914
CDKL1,-0.6212167
CLASP2,0.620912
SYBU,0.6208175
LRRC15,0.620714
VAMP4,-0.620648
RBFA,0.62047815
TENM3,-0.62045753
GSTA4,0.62033635
ACOT7,-0.62032574
CACNA2D1,-0.62012666
ATP2C1,-0.6200702
PPARGC1A,0.62003666
BARD1,0.6199974
THTPA,-0.6199328
PCK1,-0.6199016
ABAT,0.6197954
GCLC,0.61977875
TNS3,0.6195502
GRIK2,0.6195272
CUL7,-0.6193646
ATP8B2,-0.61912304
SNX11,0.6189563
ECM1,0.6189018
ANKRD2,0.61866033
CAMK2A,0.618246
TPBG,-0.61790216
MTO1,0.6178795
ABCC4,0.61781454
DBN1,0.61753345
KCNIP1,0.6175316
RBBP5,-0.6172966
RNF111,0.6167837
ANXA1,-0.616752
MANBA,-0.6164036
ACADSB,-0.6163472
UNC93B1,0.6162916
EXOC3,0.6162715
C5AR1,-0.6161139
HYI,0.6160705
SERPING1,0.61593854
DICER1,0.615823
NCAPG2,0.6154291
RNF138,-0.61538047
KLRF1,-0.6153663
DGKD,0.6153133
MAST3,0.6152686
RASL12,0.61520207
ABCA8,-0.61503905
PPM1B,0.6149819
RGS17,-0.61486953
HYAL3,0.6148423
ROBO1,-0.6147696
PAPOLA,-0.6144065
MAN2A2,0.6144041
GCN1,-0.61436486
ITM2A,-0.6143499
ACSBG1,-0.6142137
CCDC28B,0.61377597
IL1RAPL1,0.6136584
FAM63A,-0.61358654
C7orf49,0.6135734
NAP1L1,-0.6133818
RAB3GAP1,0.6130577
VCP,0.6130367
BACH1,0.61264944
ADCY1,0.6126002
CDC6,0.612509
RPL23A,-0.612397
ACOX2,0.612296
EHBP1,0.6120144
THOP1,-0.61198425
TRIM37,-0.6119436
ZMYND8,-0.6118979
TMEM260,-0.6117714
HGSNAT,0.6116488
RASL11B,0.6111866
RAB1B,-0.61118555
PLPP3,0.6111799
FHIT,0.6110208
BCKDHB,-0.61098576
PPA1,0.61090845
GLCE,-0.6108886
ACSL3,0.6107848
FOXA1,-0.61057985
PLXNB3,0.61020553
RPRM,-0.6101079
TIPARP,0.6100288
AAR2,0.60998446
QSOX1,-0.60982513
USP5,0.6098144
GRK6,0.6097937
NELFB,-0.6097568
ZC2HC1C,-0.60975647
MRPS33,0.6096698
UBA1,0.60949504
RAB33B,0.60911757
ZKSCAN5,-0.6088321
CCDC91,-0.60855925
GPR63,0.60851943
TAF2,0.60845613
TOR1AIP1,0.60829645
EGR3,-0.60820425
SETD1B,0.60820067
CCNH,0.60794216
ATP5G2,-0.60788447
EPB41L5,0.60784197
MALT1,0.607679
VPS13B,-0.60766745
SPRY4,-0.60760814
RAB5B,-0.6074717
DHFR,-0.60746485
GAR1,-0.60723895
RAB27A,-0.6070903
KCNV1,0.60693824
EFCAB14,-0.6067122
POU6F1,0.6064993
OCEL1,-0.60638773
SPAST,0.60635346
SLC25A13,-0.60626924
PRRG1,-0.606256
ALG6,0.6062151
SCN2B,-0.6057354
TBCE,-0.60530394
ING4,-0.6051856
GNE,0.6051808
BMX,0.60494804
MGP,0.60493267
IMP4,0.6048585
UNC5C,0.60482734
BRPF1,0.60477316
CNOT7,0.6046802
ZFR2,-0.604614
ALPK1,-0.60457826
SLC35D2,0.6044988
NUMB,0.60448176
HS2ST1,-0.6043966
SECTM1,-0.6042562
PHF21A,-0.6042261
PEX5L,0.60411316
SLIT2,-0.6040847
ECHDC2,-0.6039691
ODC1,0.6038318
RHBDD3,-0.6036425
USH1C,0.60350186
GNG3,0.6034201
GCHFR,-0.6032631
TBCCD1,0.6032046
TWF1,-0.60268044
PLEKHH3,0.6022864
NDC1,0.6022805
RPLP1,-0.6022161
BSDC1,-0.6020458
LAMB4,-0.60191786
STAT5B,-0.60179996
BDH2,0.6017816
ALKBH4,0.60134685
RGS6,0.60116124
INTS5,0.60114765
SLC7A1,0.60095817
SULT1A2,0.6007862
CHST7,0.6007472
SLC25A28,0.6007409
IMP3,0.6006912
SSNA1,-0.600496
TSC22D1,-0.60032547
CREB5,0.6002249
CNP,-0.59971046
AGO4,-0.5992495
CD34,-0.5991388
ARHGAP35,-0.5987823
GLI1,0.5986316
AURKA,0.5986064
NPY,0.59860504
ADD3,0.59856844
MAN1B1,0.59819746
GUK1,-0.5980955
SLCO3A1,0.5978017
BCHE,-0.5977294
RPS23,-0.5975562
TUBA4A,-0.59742904
ZNF428,0.59716964
ZKSCAN3,-0.5970229
ADPRH,0.596652
GRB14,-0.5966016
HOXC4,0.59657836
PRRC1,-0.5963211
NOL11,0.59596854
CR2,-0.59587455
CRIP1,-0.59546673
NEBL,-0.59530663
TECR,-0.59529257
KHDRBS3,-0.5952775
SLC22A4,-0.59527683
ZDHHC8P1,-0.59522927
ZSWIM1,0.595135
IKBKG,-0.59500974
CELF3,-0.59492326
DGCR8,-0.59490323
PDXK,0.5944545
DCLK1,0.5943959
BCAP31,0.59407973
CAMK2B,-0.5940704
SCAND1,-0.5938356
SLC25A6,-0.59373593
RPS24,-0.59363663
CTSB,0.5935805
GALNT7,0.5934457
SLA,0.5932917
IGFBP3,0.593223
KATNA1,-0.5930945
DLST,-0.5929905
FBXO3,-0.5927351
GPR161,-0.592591
IRF7,-0.59237707
MAP9,-0.5921082
MARK1,0.59203964
GPALPP1,0.5917728
PPM1H,-0.5916475
EPHA5,-0.59155357
ARSF,-0.5915433
PRKCH,0.5909733
CD4,-0.5905796
SMURF1,0.5905732
PRDX3,0.5905618
MED15,0.5905395
ACOT9,-0.59049106
SP140L,0.590352
USP49,-0.59034514
RTP4,-0.5901011
ADH1C,-0.5900066
DTNA,0.5898886
ARHGAP5,0.5898844
ZNF768,-0.5897248
IP6K1,0.58942294
KIF3C,0.5893517
TGIF1,-0.5891963
EXT1,-0.5891227
HTATSF1,0.5888847
TTF2,0.58877516
GTF2H5,-0.58873016
GRIA1,0.58866596
TMEM115,0.5886533
ARGLU1,-0.58862984
ZBTB25,0.5885896
FAM160B2,-0.58855486
TTLL3,-0.588514
RPL24,-0.5883458
SHMT1,0.5880447
GIMAP5,0.5880252
TAF1B,0.588022
RAB2A,0.58791435
LRCH3,-0.587904
ATP6V0A1,-0.58775353
SLC44A4,0.5874766
NET1,-0.5874671
ADIRF,0.5872443
ITGAM,-0.58700895
ANKHD1,-0.586975
EIF2B5,0.5868276
RANBP2,0.5866723
COA1,0.5866358
TNIP2,0.5865643
HAUS3,0.5864601
C9orf116,-0.58643305
FOXN3,0.5863294
PIK3R1,-0.58631855
SNHG3,-0.58622926
HNMT,0.5862286
PFKFB2,0.5861372
BMP1,0.5860276
ZNF652,-0.58574784
SUOX,0.58556545
KDM6B,0.58546335
CD68,-0.585287
RAD51D,0.58523667
CRIP2,-0.58521605
CA6,0.5850268
RAF1,-0.58482826
SNX2,0.58473057
KCNK5,-0.5845883
KANSL1L,-0.5843924
PLAG1,0.5842345
ATHL1,0.5842099
FAM189A1,0.58396417
THAP7,-0.5839424
PPP2R4,0.5836651
COL6A1,-0.58317757
HP,-0.58315635
SIPA1,-0.5831375
MGST3,-0.5830722
LPIN2,-0.5830456
DNASE1L1,0.5830055
ATP11B,-0.5827838
KRT1,-0.5827653
NLRP3,0.5824036
FYB,-0.5822043
SAFB2,-0.58217007
SLC2A11,-0.58180374
PRIM1,-0.58171177
AGTR1,-0.58160853
PTPRN2,0.58148324
TUBGCP3,0.58130705
TDRD7,-0.5811895
POP5,-0.580883
DCUN1D1,0.5807142
TM2D1,-0.58016753
TIMM44,0.5801516
SLC17A6,-0.57975364
CALCOCO1,-0.57947254
HPCA,-0.57942563
IL1RAP,0.5793017
TIMM8B,0.5792903
SLAMF8,0.5791211
NIT1,-0.57908577
HSPA4L,0.5790631
TTC26,0.57905614
CSGALNACT1,0.5789404
TWSG1,-0.5787159
HSD17B6,-0.57867837
PUS1,0.57866144
PMM1,-0.5785284
KXD1,-0.5785243
BEST1,0.5785146
USP4,0.5783687
C21orf2,0.5783105
NT5C2,-0.578236
RPL41,-0.57797885
EED,0.5779718
ANKRD28,0.577904
EFNA5,-0.5777867
ANAPC15,-0.5777569
DDAH1,-0.5776653
CNKSR2,0.5775248
PPP6R3,-0.5774849
MOG,0.57740796
IFT22,-0.57737917
IVD,0.5773504
ATXN7,-0.5773045
FEN1,-0.5771989
IGF2BP2,-0.5771014
PRX,0.5770822
PDIA6,-0.5769869
NUP188,0.57687294
KDM4C,-0.57682294
TYMS,-0.5768146
LIMD1,-0.576638
NOC2L,-0.57626975
ZBTB16,0.5762671
EMCN,0.5759696
MFN1,0.57574624
NUDT1,-0.57568085
FAM105A,-0.57568055
KCND1,0.57535076
LZTFL1,-0.5752983
AMOTL2,-0.5749334
DNM3,0.5748834
RAPGEF4,-0.5747998
EIF2S1,0.57455575
RASGRP3,0.57450986
MPP2,0.5740824
UBE2A,-0.5737442
SEC31B,0.57369244
ELF4,0.5736484
PNMA1,-0.5734709
RNASE6,-0.5733087
TCTA,-0.57323575
PARP6,0.5731837
CA10,0.57318074
TMSB10,-0.5729679
LAMP2,0.5728529
SUPT5H,-0.57274646
MICALL2,0.57270706
HLCS,0.57262427
C9orf114,0.5723382
TGFB2,-0.5722833
MTMR11,-0.572036
DYRK4,0.5717303
PKN1,-0.57171154
MAVS,-0.57169694
CENPN,-0.57156503
SDHD,0.5715509
DNAL4,-0.5715418
ACD,-0.57131433
TOPBP1,-0.57130486
